             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7348318 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348319 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348320 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348321 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348322 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348323 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348324 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348325 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348326 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348327 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348328 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348329 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348330 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348331 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348332 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348333 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348334 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348335 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348336 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348337 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348338 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348339 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348340 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348341 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348342 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348343 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348344 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348345 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348346 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348347 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348348 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348349 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348350 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348351 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348352 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348353 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348354 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348355 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348356 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348357 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348358 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348359 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348360 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348361 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348362 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348363 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348364 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348365 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348366 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348367 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348368 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348369 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348370 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348371 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348372 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348373 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348374 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348375 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348376 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348377 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348378 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348379 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348380 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348381 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348382 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348383 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348384 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
